Initial positions: (27, 14, 53), Number of turns: 216.33307652783935
Initial positions: (26, 12, 54), Number of turns: None
Initial positions: (24, 14, 57), Number of turns: None
Initial positions: (29, 19, 50), Number of turns: 263.0589287593181
Initial positions: (25, 16, 52), Number of turns: None
Initial positions: (31, 13, 55), Number of turns: 274.31020560671817
Initial positions: (28, 18, 53), Number of turns: 250.59928172283335
Initial positions: (27, 15, 52), Number of turns: 253.17977802344325
Initial positions: (30, 11, 54), Number of turns: None
Initial positions: (29, 14, 51), Number of turns: 280.178514522438
Initial positions: (27, 17, 49), Number of turns: 280.713376952364
Initial positions: (31, 12, 55), Number of turns: None
Initial positions: (29, 8, 56), Number of turns: 273.33
Initial positions: (58, 13, 51), Number of turns: 280.3175977351404
